"COMMENTID","BLOGID","COMMENTDATE","COMMENTMESSAGE","USERNAME"
80,1,20-MAR-19 01.57.44.689000000 PM,"Edited comment","michellec"
100,0,20-MAR-19 05.23.07.658000000 PM,"new comment 100","sumanthl"
101,74,20-MAR-19 05.23.09.161000000 PM,"sdfasfxzcvxzcv","john"
102,74,20-MAR-19 05.23.11.754000000 PM,"sdfasfrwqxzcvxzcerwqerwqerwe","maryj"
150,148,03-APR-19 02.14.07.663000000 PM,"good blog","rose"
98,74,20-MAR-19 04.54.13.099000000 PM,"bnvcb setet","john"
99,74,20-MAR-19 05.07.31.586000000 PM,"gfhfdh","sumanthl"
156,155,03-APR-19 02.35.40.093000000 PM,"Media should realize Its illegal in India and Promoting this type of illegal Business with sensation :O even some commoners have burned there money Promote when it will become Legal in India.","rose"
157,155,03-APR-19 02.38.23.905000000 PM,"Good advertisement for Bitcoins...","michaellc"
159,158,03-APR-19 02.47.26.185000000 PM,"I dont think it will be able to compete nelco ltd for similar kind of service.as its tata company and highly proffesional .better to invest in nelco then bsnl.","michaelj"
160,158,03-APR-19 02.48.19.710000000 PM,"It took more than two years for BSNL to get the 4G license and wondering how they could manage to get this in-flight WiFi ! BSNL needs to improve a lot.","maryj"
162,161,03-APR-19 02.52.21.143000000 PM,"Sanskrit should be made compulsory in all states of India","rose"
163,161,03-APR-19 02.52.35.636000000 PM,"V good it is a model for our country","michellec"
166,165,03-APR-19 03.19.29.383000000 PM,"A vote for Congress is effectively a vote for Pakistan","sumanthl"
168,167,03-APR-19 03.27.48.754000000 PM,"What about iphone x? It doesnt stand anywhere in top 10?","john"
169,167,03-APR-19 03.28.16.997000000 PM,"Redmi 5 should be included instead of Redmi 4","rose"
